Bulk mode; whois.cymru.com [2017-12-04 03:04:32 +0000]
NA      | 155.133.64.182   | NA                  | PL | ripencc  | 1991-11-07 | NA
209     | 67.1.124.62      | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.130.122     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.206.210     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.207.177     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.213.231     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.217.178     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.223.27      | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.224.210     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.240.62      | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.248.188     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
701     | 71.114.104.27    | 71.114.96.0/20      | US | arin     | 2005-01-18 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business, US
701     | 72.93.243.211    | 72.93.0.0/16        | US | arin     | 2005-06-24 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business, US
701     | 96.227.250.127   | 96.227.0.0/16       | US | arin     | 2006-12-29 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business, US
701     | 96.255.14.191    | 96.255.0.0/16       | US | arin     | 2006-12-29 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business, US
719     | 80.186.213.23    | 80.186.0.0/16       | FI | ripencc  | 2002-05-28 | ELISA-AS Helsinki, Finland, FI
852     | 161.184.238.220  | 161.184.0.0/16      | CA | arin     | 1993-01-15 | ASN852 - TELUS Communications Inc., CA
1101    | 145.220.75.103   | 145.220.0.0/16      | NL | ripencc  | 1993-09-01 | IP-EEND-AS IP-EEND BV, NL
1221    | 101.162.24.218   | 101.160.0.0/11      | AU | apnic    | 2010-12-23 | ASN-TELSTRA Telstra Pty Ltd, AU
1221    | 121.222.137.168  | 121.208.0.0/12      | AU | apnic    | 2007-02-09 | ASN-TELSTRA Telstra Pty Ltd, AU
1221    | 58.165.135.137   | 58.160.0.0/12       | AU | apnic    | 2005-05-30 | ASN-TELSTRA Telstra Pty Ltd, AU
1257    | 193.15.16.4      | 193.12.0.0/14       | SE | ripencc  | 1996-01-02 | TELE2, SE
1403    | 192.222.191.249  | 192.222.128.0/17    | CA | arin     | 2012-12-20 | EBOX - EBOX, CA
1426    | 199.68.196.124   | 199.68.196.0/22     | US | arin     | 2011-01-10 | LIGHTWAVENET - Lightwave Networking, LLC, US
1759    | 80.220.159.60    | 80.220.0.0/14       | FI | ripencc  | 2002-03-27 | TSF-IP-CORE Telia Finland Oyj, FI
1835    | 130.226.169.137  | 130.226.0.0/16      | DK | ripencc  | 1988-10-21 | FSKNET-DK Forskningsnettet - Danish network for Research and Education, DK
2116    | 193.90.12.115    | 193.90.0.0/16       | NO | ripencc  | 1993-09-01 | ASN-CATCHCOM, NO
2116    | 193.90.12.116    | 193.90.0.0/16       | NO | ripencc  | 1993-09-01 | ASN-CATCHCOM, NO
2116    | 193.90.12.117    | 193.90.0.0/16       | NO | ripencc  | 1993-09-01 | ASN-CATCHCOM, NO
2116    | 193.90.12.118    | 193.90.0.0/16       | NO | ripencc  | 1993-09-01 | ASN-CATCHCOM, NO
2116    | 193.90.12.119    | 193.90.0.0/16       | NO | ripencc  | 1993-09-01 | ASN-CATCHCOM, NO
2116    | 31.185.27.203    | 31.185.24.0/21      | NO | ripencc  | 2011-03-15 | ASN-CATCHCOM, NO
2119    | 46.194.136.3     | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.144.152   | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.146.200   | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.152.92    | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.156.7     | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.164.16    | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.177.96    | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.189.140   | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.23.204    | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.24.148    | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.25.188    | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 46.194.28.29     | 46.194.0.0/15       | SE | ripencc  | 2010-12-14 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 84.217.13.138    | 84.216.0.0/14       | SE | ripencc  | 2004-05-24 | TELENOR-NEXTEL Telenor Norge AS, NO
2119    | 85.166.131.71    | 85.164.0.0/14       | NO | ripencc  | 2004-11-18 | TELENOR-NEXTEL Telenor Norge AS, NO
2497    | 124.147.72.86    | 124.147.64.0/18     | JP | apnic    | 2006-03-07 | IIJ Internet Initiative Japan Inc., JP
2497    | 133.218.180.149  | 133.218.0.0/16      | JP | apnic    | 1997-03-01 | IIJ Internet Initiative Japan Inc., JP
2514    | 219.102.195.65   | 219.102.0.0/16      | JP | apnic    | 2002-03-07 | INFOSPHERE NTT PC Communications, Inc., JP
2516    | 106.187.37.101   | 106.187.0.0/18      | JP | apnic    | 2011-03-15 | KDDI KDDI CORPORATION, JP
2516    | 121.105.230.134  | 121.105.0.0/16      | JP | apnic    | 2006-06-30 | KDDI KDDI CORPORATION, JP
2734    | 162.213.0.243    | 162.213.0.0/24      | US | arin     | 2013-05-29 | CORESITE - CoreSite, US
2856    | 86.139.250.186   | 86.128.0.0/12       | GB | ripencc  | 2005-02-07 | BT-UK-AS BTnet UK Regional network, GB
2856    | 86.149.159.209   | 86.128.0.0/11       | GB | ripencc  | 2005-02-07 | BT-UK-AS BTnet UK Regional network, GB
2856    | 86.149.159.224   | 86.128.0.0/11       | GB | ripencc  | 2005-02-07 | BT-UK-AS BTnet UK Regional network, GB
2856    | 86.149.159.230   | 86.128.0.0/11       | GB | ripencc  | 2005-02-07 | BT-UK-AS BTnet UK Regional network, GB
2856    | 86.149.159.8     | 86.128.0.0/11       | GB | ripencc  | 2005-02-07 | BT-UK-AS BTnet UK Regional network, GB
3209    | 178.6.87.186     | 178.0.0.0/12        | DE | ripencc  | 2010-01-12 | VODANET International IP-Backbone of Vodafone, DE
3209    | 178.9.250.131    | 178.0.0.0/12        | DE | ripencc  | 2010-01-12 | VODANET International IP-Backbone of Vodafone, DE
3209    | 178.9.250.148    | 178.0.0.0/12        | DE | ripencc  | 2010-01-12 | VODANET International IP-Backbone of Vodafone, DE
3209    | 84.63.1.188      | 84.56.0.0/13        | DE | ripencc  | 2004-08-17 | VODANET International IP-Backbone of Vodafone, DE
3209    | 84.63.48.156     | 84.56.0.0/13        | DE | ripencc  | 2004-08-17 | VODANET International IP-Backbone of Vodafone, DE
3209    | 84.63.68.13      | 84.56.0.0/13        | DE | ripencc  | 2004-08-17 | VODANET International IP-Backbone of Vodafone, DE
3209    | 84.63.69.140     | 84.56.0.0/13        | DE | ripencc  | 2004-08-17 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.67.169.226    | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.76.29.216     | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.76.69.146     | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.76.71.59      | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.134.44     | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.138.250    | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.142.105    | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.142.194    | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.176.230    | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.187.35     | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.195.36     | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.211.4      | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.218.129    | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 88.77.222.244    | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET International IP-Backbone of Vodafone, DE
3209    | 92.78.93.196     | 92.72.0.0/13        | DE | ripencc  | 2007-07-27 | VODANET International IP-Backbone of Vodafone, DE
3209    | 92.78.94.162     | 92.72.0.0/13        | DE | ripencc  | 2007-07-27 | VODANET International IP-Backbone of Vodafone, DE
3209    | 94.221.102.114   | 94.216.0.0/13       | DE | ripencc  | 2008-07-28 | VODANET International IP-Backbone of Vodafone, DE
3209    | 94.221.123.129   | 94.216.0.0/13       | DE | ripencc  | 2008-07-28 | VODANET International IP-Backbone of Vodafone, DE
3209    | 94.221.125.253   | 94.216.0.0/13       | DE | ripencc  | 2008-07-28 | VODANET International IP-Backbone of Vodafone, DE
3215    | 86.227.8.147     | 86.227.0.0/16       | FR | ripencc  | 2005-03-02 | AS3215, FR
3215    | 86.227.9.9       | 86.227.0.0/16       | FR | ripencc  | 2005-03-02 | AS3215, FR
3215    | 90.3.4.65        | 90.3.0.0/16         | FR | ripencc  | 2006-03-02 | AS3215, FR
3215    | 90.92.84.22      | 90.92.0.0/16        | FR | ripencc  | 2006-03-02 | AS3215, FR
3215    | 92.169.87.4      | 92.169.0.0/16       | FR | ripencc  | 2007-07-12 | AS3215, FR
3262    | 212.81.199.159   | 212.81.128.0/17     | ES | ripencc  | 2000-04-10 | SARENET, ES
3265    | 193.110.157.151  | 193.110.157.0/24    | NL | ripencc  | 2002-02-19 | XS4ALL-NL Amsterdam, NL
3265    | 212.238.160.33   | 212.238.0.0/16      | NL | ripencc  | 1998-04-28 | XS4ALL-NL Amsterdam, NL
3265    | 80.127.116.96    | 80.126.0.0/15       | NL | ripencc  | 2001-10-11 | XS4ALL-NL Amsterdam, NL
3265    | 80.127.116.97    | 80.126.0.0/15       | NL | ripencc  | 2001-10-11 | XS4ALL-NL Amsterdam, NL
3265    | 80.127.236.203   | 80.126.0.0/15       | NL | ripencc  | 2001-10-11 | XS4ALL-NL Amsterdam, NL
3269    | 79.17.11.202     | 79.16.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.18.85.18      | 79.18.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.18.94.176     | 79.18.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.22.64.37      | 79.22.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.23.180.158    | 79.22.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.23.83.231     | 79.22.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.33.81.208     | 79.32.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.33.81.232     | 79.32.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.35.90.129     | 79.35.0.0/16        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.35.91.160     | 79.35.0.0/16        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.42.42.176     | 79.42.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.42.83.61      | 79.42.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.46.80.220     | 79.46.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.46.82.167     | 79.46.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.46.87.180     | 79.46.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.50.226.7      | 79.50.0.0/15        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 79.55.85.70      | 79.55.0.0/16        | IT | ripencc  | 2007-02-21 | ASN-IBSNAZ, IT
3269    | 80.104.184.155   | 80.104.128.0/17     | IT | ripencc  | 2001-07-17 | ASN-IBSNAZ, IT
3269    | 80.117.126.235   | 80.117.64.0/18      | IT | ripencc  | 2001-08-06 | ASN-IBSNAZ, IT
3269    | 80.182.152.101   | 80.182.0.0/16       | IT | ripencc  | 2002-09-26 | ASN-IBSNAZ, IT
3269    | 80.183.44.6      | 80.183.0.0/16       | IT | ripencc  | 2002-09-26 | ASN-IBSNAZ, IT
3269    | 82.48.16.216     | 82.48.0.0/16        | IT | ripencc  | 2003-08-07 | ASN-IBSNAZ, IT
3269    | 82.53.24.162     | 82.53.0.0/17        | IT | ripencc  | 2003-08-07 | ASN-IBSNAZ, IT
3269    | 82.55.89.75      | 82.55.0.0/17        | IT | ripencc  | 2003-08-07 | ASN-IBSNAZ, IT
3269    | 82.60.221.179    | 82.60.0.0/16        | IT | ripencc  | 2003-08-07 | ASN-IBSNAZ, IT
3269    | 87.13.135.161    | 87.13.128.0/17      | IT | ripencc  | 2005-07-13 | ASN-IBSNAZ, IT
3269    | 87.16.80.79      | 87.16.0.0/15        | IT | ripencc  | 2005-07-13 | ASN-IBSNAZ, IT
3269    | 87.16.83.46      | 87.16.0.0/15        | IT | ripencc  | 2005-07-13 | ASN-IBSNAZ, IT
3269    | 87.17.70.225     | 87.16.0.0/15        | IT | ripencc  | 2005-07-13 | ASN-IBSNAZ, IT
3269    | 87.21.79.51      | 87.21.0.0/16        | IT | ripencc  | 2005-07-13 | ASN-IBSNAZ, IT
3269    | 87.21.86.131     | 87.21.0.0/16        | IT | ripencc  | 2005-07-13 | ASN-IBSNAZ, IT
3269    | 87.6.140.175     | 87.6.0.0/15         | IT | ripencc  | 2005-07-13 | ASN-IBSNAZ, IT
3269    | 95.235.83.166    | 95.234.0.0/15       | IT | ripencc  | 2009-01-15 | ASN-IBSNAZ, IT
3269    | 95.238.64.219    | 95.238.0.0/15       | IT | ripencc  | 2009-01-15 | ASN-IBSNAZ, IT
3269    | 95.245.157.116   | 95.245.0.0/16       | IT | ripencc  | 2009-01-15 | ASN-IBSNAZ, IT
3269    | 95.245.86.69     | 95.245.0.0/16       | IT | ripencc  | 2009-01-15 | ASN-IBSNAZ, IT
3269    | 95.250.82.139    | 95.250.0.0/15       | IT | ripencc  | 2009-01-15 | ASN-IBSNAZ, IT
3269    | 95.250.90.156    | 95.250.0.0/15       | IT | ripencc  | 2009-01-15 | ASN-IBSNAZ, IT
3269    | 95.251.83.194    | 95.250.0.0/15       | IT | ripencc  | 2009-01-15 | ASN-IBSNAZ, IT
3292    | 83.92.47.99      | 83.88.0.0/13        | DK | ripencc  | 2003-12-01 | TDC TDC A/S, DK
3301    | 194.218.3.79     | 194.218.0.0/16      | SE | ripencc  | 1995-12-15 | TELIANET-SWEDEN Telia Company, SE
3301    | 78.70.167.74     | 78.64.0.0/12        | SE | ripencc  | 2007-03-09 | TELIANET-SWEDEN Telia Company, SE
3301    | 81.227.5.254     | 81.224.0.0/12       | SE | ripencc  | 2002-10-04 | TELIANET-SWEDEN Telia Company, SE
3308    | 62.198.32.223    | 62.198.0.0/15       | DK | ripencc  | 2000-10-17 | TELIANET-DENMARK, DK
3320    | 62.158.93.22     | 62.156.0.0/14       | DE | ripencc  | 1999-03-05 | DTAG Internet service provider operations, DE
3320    | 79.199.245.10    | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.249.153   | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.251.252   | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.252.50    | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.254.148   | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.254.63    | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.255.156   | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.255.198   | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.255.253   | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.199.255.51    | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 79.219.213.159   | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Internet service provider operations, DE
3320    | 84.136.158.91    | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.163.89.97     | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.177.230   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.177.81    | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.178.135   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.179.230   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.179.236   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.181.128   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.181.141   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.181.251   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.181.254   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.181.71    | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.190.29    | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 84.190.191.131   | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Internet service provider operations, DE
3320    | 87.180.227.143   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.227.27    | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.230.140   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.230.180   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.230.222   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.230.238   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.231.128   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.233.120   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.233.68    | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.234.102   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.234.137   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.234.146   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.234.188   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.234.203   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.235.126   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.235.230   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.235.72    | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.236.11    | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.237.161   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.238.153   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.238.160   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.239.103   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.239.118   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.239.124   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 87.180.239.252   | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Internet service provider operations, DE
3320    | 91.12.0.235      | 91.0.0.0/10         | DE | ripencc  | 2006-07-03 | DTAG Internet service provider operations, DE
3320    | 91.12.7.191      | 91.0.0.0/10         | DE | ripencc  | 2006-07-03 | DTAG Internet service provider operations, DE
3320    | 91.15.51.148     | 91.0.0.0/10         | DE | ripencc  | 2006-07-03 | DTAG Internet service provider operations, DE
3320    | 93.201.175.112   | 93.192.0.0/10       | DE | ripencc  | 2008-02-12 | DTAG Internet service provider operations, DE
3320    | 93.206.210.140   | 93.192.0.0/10       | DE | ripencc  | 2008-02-12 | DTAG Internet service provider operations, DE
3329    | 91.138.253.244   | 91.138.252.0/23     | GR | ripencc  | 2006-10-13 | HOL-GR Athens, Greece, GR
3352    | 88.11.25.159     | 88.11.0.0/16        | ES | ripencc  | 2005-07-13 | TELEFONICA_DE_ESPANA, ES
3462    | 1.160.199.169    | 1.160.0.0/16        | TW | apnic    | 2010-05-05 | HINET Data Communication Business Group, TW
3462    | 1.161.249.92     | 1.161.0.0/16        | TW | apnic    | 2010-05-05 | HINET Data Communication Business Group, TW
3462    | 111.248.62.31    | 111.248.0.0/16      | TW | apnic    | 2009-07-23 | HINET Data Communication Business Group, TW
3462    | 114.38.92.180    | 114.38.0.0/16       | TW | apnic    | 2008-04-18 | HINET Data Communication Business Group, TW
3462    | 114.38.92.3      | 114.38.0.0/16       | TW | apnic    | 2008-04-18 | HINET Data Communication Business Group, TW
3462    | 114.46.123.22    | 114.46.0.0/16       | TW | apnic    | 2008-04-18 | HINET Data Communication Business Group, TW
3462    | 114.46.72.187    | 114.46.0.0/16       | TW | apnic    | 2008-04-18 | HINET Data Communication Business Group, TW
